title
總統提兩岸「4個必須」 吳敦義：過度了
是否參選2020？ 張善政：過年期間沉澱思考
跨年淋雨看電競惹民怨 陳思宇：展現台灣之光
藍將杯葛促轉會預算 蘇嘉全：相信可溝通
支持游錫堃呼籲 蘇嘉全：賴揆留任為台灣打拚
吳敦義證實：周錫瑋將出任國民黨副主席
白冰冰代言高雄遭嘆「摧毀質感」 潘恆旭回嗆：菁英傲慢
游盈隆：民進黨若不聽基層聲音 2020還會挫敗
三星訂單加持 大立光開盤衝高光學股走強
「為台灣勇敢承擔」 游錫堃籲請賴清德留任
雙子星開發加持 北車周邊店面行情看漲
為民喉舌！蔡阿嘎堂叔3連霸議員 未宣誓就職不幸病逝
台美關係現況 高碩泰：40年來最佳狀態
台股近10年開紅盤 上漲機率達7成
韓國瑜提「3必須」回應總統！網友酸：高雄區國台辦？
豪砸600億蓋108個盒子 台北雙子星設計圖曝光
賴清德去或留？ 鄭文燦給答案了
籲小英站第一線 鄭文燦：不改變2020必敗
高雄跨年湧80萬人遭質疑「膨風」 高市府這樣回應
布局2020 傳吳敦義找他們接黨中央要職
韓總忍淚升旗「空拍曝光」 網友震撼：高雄失傳的熱情
不爽蘇貞昌接任？ 她轟賴清德：你是不是神經病？
蔡英文想推「負所得稅」？ 學者反對：台灣地下經濟太多
5年前就提醒民進黨別應付人民 林淑芬回顧舊文被讚先知
清邁配取代英德配？綠委提陳其邁選副總統
新年送大禮 稅收增加總統要減稅分紅
屏東30當選人涉賄選 檢方提當選無效創紀錄
拔謝長廷？親謝人士1年前醜聞 敗選後曝
錢潮！升完旗吃早餐 韓粉人潮跨4店面
高雄擬採「深圳模式」 韓：兩城市性格相近
韓市長跨年接元旦 連兩天只睡2小時
首位現任元首訪問華府？ 總統：有計劃再說
縣市長搶兩岸交流！ 總統：應健康正常
陳其邁現身餐廳！ 跨年夜高歌唱「紅豆」
跨年萬人淋雨看電競被譙翻 柯P：不可能每年節目都一樣
快訊／震撼！屏檢針對30名當選人提當選無效
跨年電競開場惹議 陳思宇被指難辭其咎
升旗典禮握拳擺胸前 韓：文人標準動作 
黑色勤務服「門面感」不夠 憲兵大門衛哨穿回甲種服
萬人冷眼看台上打電動 她點名帳要算在「陳思宇」身上
王世堅再開砲 怒轟蔡英文棄獨派基層不顧
小英提「4必須3防護」遭批：搞不清人民要的
邀名人行銷高雄…先找白冰冰 再排陳文茜和瓊瑤
高雄升旗國旗卻放太旁邊 民眾酸：當選就忘記國旗？
蔡英文批陸「哪來一家親」 柯文哲：有芥蒂講什麼都沒用
馬英九台南升旗 阿嬤誤把謝龍介認成馬
角逐2020？王金平想胡牌 柯撇不懂麻將
習近平新年賀詞 「港澳台」同胞改成「大家」
韓國瑜參加元旦升旗 嘆愛國旗海飄揚好久不見
排隊安檢買早餐！ 朱赴總統府升旗「平民風」
花博免費！ 全國12歲童 中市民排隊入場
「熱心長輩」竟是狼！一張照片看出他與綠營大老關係深厚
府前升旗司儀喊「唱國歌～」破音 網笑虧：昨晚喝太多嗎
奪話語權？總統首「元旦談話」 習2號發表
邱議瑩2020立委保不住？他一句「神解」突破盲點
韓國瑜元旦跟著太陽走 攤商跨年追到林園擺攤
敗選後開金嗓唱國歌 總統一字不漏唱完
不滿管中閔當台大校長 學者連署籲政府撤銷聘任
夫人沒陪！柯文哲跨年夜省話 致詞1分鐘
上任後首跨年 韓國瑜放閃親李佳芬
快訊／新年賀詞 國台辦：兩岸關係機遇與挑戰並存
吳鳳來台發展落地生根 大聲唱出對台灣的愛
談話全文／蔡英文：連豬瘟都不能合作，哪來兩岸一家親
「去年台灣人很阿砸」 韓國瑜元旦致詞：國泰民安靠自己
蔡總統穿座機隊夾克出席元旦升旗 全程唱國歌
蔣月惠視院生為家人 歐巴桑根本地表最強生物
非典型政治人物興起 全因選民對藍綠失望
陳永和拿女兒嫁妝費參選 歐巴桑自製果醬布巾籌錢
蔣月惠第一高票當選 呱吉成首位入議會網紅
寧可被打得傷痕累累 蔣月惠也不要金箍咒
唱完國歌發動突襲 黃背心民眾府前抗議
台灣生技產業發光！ 南進商機無限大
卓榮泰：黨務改造不留情面 沒有上限
2019壞消息環伺 台灣上半年景氣「繫緊安全帶」
金門海灘驚見死豬 防疫所急消毒已送驗
亞股今年失血160兆元 表現7年來最糟
卸下總座當作家 吳音寧：要把惡意攻擊寫進書裡
辜寬敏批挺韓青年 韓國瑜動怒：說風涼話
「孤單跨年夜」？  總統待官邸沒人邀
央視專訪劉結一 陸將加強主導兩岸走向
韓國瑜拍短片！ 行銷六龜梅花溫泉
陳其邁選後攀人氣高峰 好感度大贏韓
歡樂政治選民愛！ 韓流掀「真人秀」熱潮
搶春聯、陸客朝聖 高嘉瑜、王世堅紅到大陸
六福皇宮今天熄燈 莊豐如：明年展三大動能
六福皇宮熄燈 莊秀石：只是逗點 不是句點
馬英九披國旗圍巾！手比愛心「變暖男」撩倒網友
買F-16V花費逼近F-35B 通膨驚人價格翻倍
跨年夜不休息 陳思宇攜「學姐」掃街造勢
看不起年輕人？ 他怒揭辜寬敏「這行為」：才令人瞧不起
李俊毅退選立委 沈痛喊話：我發現社會對民進黨很ＸＸ！
尷尬！高雄空氣全台最差... 網批韓國瑜：還要熱身多久
發大財靠中國、靠政府？呂秋遠：重新投胎最簡潔有效
屏東30人涉賄遭起訴 社民黨：臭雞蛋聞的就知道不用吃！
藏陰謀論？郝龍斌緋聞傳言 背後恐牽扯2020總統大選
黃國昌盼審視此法 怒批蔡政府：別說跟做得不一樣！
捍衛海疆！海軍新年形象影片 網友感動：有你們真好
高雄人很開心！無酬代言遭中央酸 白冰冰反擊：比酸民還扯
高市向蔡英文提3「必須」 他怒嗆韓國瑜：等你當總統再說
蔡英文宣布要把超徵稅收分享給弱勢 張善政：大方向正確
邀白冰冰行銷高雄！中央與地方互槓 潘恆旭批「菁英傲慢」
被問兩岸「芥蒂」是指什麼？ 柯文哲：就互相罵來罵去啊！
雄三超音速反艦飛彈畫面首曝 海軍形象短片引網共鳴好感動
屏東地檢對30名當選人提當選無效之訴 黃國昌：垃圾民代
「聘管」惹怒中研院學者們！轟政府違法 連署喊撤案
